rank,model_id,rmse,mse,mae,rmsle,mean_residual_deviance
1,GBM_5_AutoML_1_20260728_122203,155.25634630628255,24104.53306837634,119.15289241001476,0.1920470475590614,24104.53306837634
2,GBM_grid_1_AutoML_1_20260728_122203_model_12,155.35399862224833,24134.86488792153,119.2017038060032,0.1921621953219452,24134.86488792153
3,GBM_2_AutoML_1_20260728_122203,155.36610632168387,24138.62699356077,119.26225196317864,0.1921683553953921,24138.62699356077
4,GBM_grid_1_AutoML_1_20260728_122203_model_13,155.3796919506878,24142.84867069064,119.304987819706,0.1921797010963273,24142.84867069064
5,GBM_grid_1_AutoML_1_20260728_122203_model_1,155.44110543358576,24161.937258415124,119.1572535343239,0.1922391271514371,24161.937258415124
6,GBM_grid_1_AutoML_1_20260728_122203_model_6,155.5014271424065,24180.693843325156,119.31905617576312,0.1922192856613791,24180.693843325156
7,GBM_3_AutoML_1_20260728_122203,155.80660092170356,24275.696890775,119.632954331685,0.1925811279475043,24275.696890775
8,GBM_1_AutoML_1_20260728_122203,155.9263024570192,24313.01179791784,119.70174876367696,0.1925727818935903,24313.01179791784
9,DeepLearning_1_AutoML_1_20260728_122203,156.00468874586784,24337.462910695103,119.57921458320288,0.1933967400570214,24337.462910695103
10,GBM_grid_1_AutoML_1_20260728_122203_model_5,156.1323837757824,24377.3212635082,119.92669317323455,0.1930800718771366,24377.3212635082
11,DeepLearning_grid_1_AutoML_1_20260728_122203_model_1,156.29576805698298,24428.36711252222,120.06608348751296,0.1928258330367593,24428.36711252222
12,GBM_4_AutoML_1_20260728_122203,156.7606624940762,24573.905305581666,120.37446817204392,0.1935382048804958,24573.905305581666
13,GBM_grid_1_AutoML_1_20260728_122203_model_7,157.0253564757955,24656.96257635065,120.81523087383148,0.1938845281932409,24656.96257635065
14,GBM_grid_1_AutoML_1_20260728_122203_model_10,157.6474780258009,24852.727327895373,121.1259663383204,0.1942190124145079,24852.727327895373
15,GBM_grid_1_AutoML_1_20260728_122203_model_8,157.73238785377927,24879.506178055057,121.20401140925593,0.1944683418158314,24879.506178055057
16,GBM_grid_1_AutoML_1_20260728_122203_model_2,157.84893300865443,24916.28565197068,121.27278907214392,0.1944977587711692,24916.28565197068
17,GBM_grid_1_AutoML_1_20260728_122203_model_4,158.18042563418282,25021.04705381124,121.6721099561324,0.1946791584548595,25021.04705381124
18,GBM_grid_1_AutoML_1_20260728_122203_model_9,158.98929467308716,25277.59582064574,122.27816678757269,0.1953532369786527,25277.59582064574
19,GBM_grid_1_AutoML_1_20260728_122203_model_3,159.42995230493216,25417.90969195294,122.71256560508388,0.1957249096108675,25417.90969195294
20,GBM_grid_1_AutoML_1_20260728_122203_model_11,159.9477841519698,25583.29365512513,122.9313767980261,0.1961485927428084,25583.29365512513
21,GLM_1_AutoML_1_20260728_122203,164.65099181292666,27109.94910498044,126.9579528658032,0.2006515883598299,27109.94910498044
22,XRT_1_AutoML_1_20260728_122203,168.18966471690672,28287.763317585493,130.89350705865786,0.2082629032396598,28287.763317585493
23,DRF_1_AutoML_1_20260728_122203,170.68596648199022,29133.69915389109,131.54347775300016,0.2050424091654691,29133.69915389109
