rank,pipeline,cv_neg_mse,cv_rmse,generation,operator_count
1,"RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.4, RandomForestRegressor__min_samples_leaf=16, RandomForestRegressor__min_samples_split=14, RandomForestRegressor__n_estimators=100)",-24437.685182146688,156.325574306147,4,1
2,"RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.4, RandomForestRegressor__min_samples_leaf=11, RandomForestRegressor__min_samples_split=9, RandomForestRegressor__n_estimators=100)",-24480.65515128916,156.4629513696107,5,1
3,"RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.35000000000000003, RandomForestRegressor__min_samples_leaf=11, RandomForestRegressor__min_samples_split=9, RandomForestRegressor__n_estimators=100)",-24480.65515128916,156.4629513696107,5,1
4,"RandomForestRegressor(ElasticNetCV(input_matrix, ElasticNetCV__l1_ratio=0.75, ElasticNetCV__tol=0.01), RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.4, RandomForestRegressor__min_samples_leaf=16, RandomForestRegressor__min_samples_split=14, RandomForestRegressor__n_estimators=100)",-24484.912144159665,156.4765546149316,0,2
5,"RandomForestRegressor(ElasticNetCV(input_matrix, ElasticNetCV__l1_ratio=0.75, ElasticNetCV__tol=0.01), RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.4, RandomForestRegressor__min_samples_leaf=16, RandomForestRegressor__min_samples_split=6, RandomForestRegressor__n_estimators=100)",-24484.912144159665,156.4765546149316,5,2
6,"RandomForestRegressor(ElasticNetCV(input_matrix, ElasticNetCV__l1_ratio=0.75, ElasticNetCV__tol=0.01), RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.35000000000000003, RandomForestRegressor__min_samples_leaf=16, RandomForestRegressor__min_samples_split=14, RandomForestRegressor__n_estimators=100)",-24484.912144159665,156.4765546149316,5,2
7,"RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.7500000000000001, RandomForestRegressor__min_samples_leaf=14, RandomForestRegressor__min_samples_split=9, RandomForestRegressor__n_estimators=100)",-24574.862996623808,156.76371709239294,4,1
8,"RandomForestRegressor(RidgeCV(RobustScaler(input_matrix)), RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.05, RandomForestRegressor__min_samples_leaf=7, RandomForestRegressor__min_samples_split=13, RandomForestRegressor__n_estimators=100)",-24578.29675795193,156.7746687381349,3,3
9,"RandomForestRegressor(RidgeCV(RobustScaler(input_matrix)), RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.05, RandomForestRegressor__min_samples_leaf=7, RandomForestRegressor__min_samples_split=4, RandomForestRegressor__n_estimators=100)",-24578.29675795193,156.7746687381349,5,3
10,"RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap=False, RandomForestRegressor__max_features=0.4, RandomForestRegressor__min_samples_leaf=16, RandomForestRegressor__min_samples_split=14, RandomForestRegressor__n_estimators=100)",-24583.491740449314,156.79123617233623,5,1
11,"RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.9500000000000001, RandomForestRegressor__min_samples_leaf=20, RandomForestRegressor__min_samples_split=14, RandomForestRegressor__n_estimators=100)",-24591.66618999609,156.81730194718978,4,1
12,"RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.9500000000000001, RandomForestRegressor__min_samples_leaf=20, RandomForestRegressor__min_samples_split=2, RandomForestRegressor__n_estimators=100)",-24591.66618999609,156.81730194718978,5,1
13,"RandomForestRegressor(MinMaxScaler(input_matrix), RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.05, RandomForestRegressor__min_samples_leaf=10, RandomForestRegressor__min_samples_split=13, RandomForestRegressor__n_estimators=100)",-24624.456689694925,156.92181712462715,5,2
14,"RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.9500000000000001, RandomForestRegressor__min_samples_leaf=16, RandomForestRegressor__min_samples_split=13, RandomForestRegressor__n_estimators=100)",-24635.780569239498,156.9578942558784,5,1
15,"RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.05, RandomForestRegressor__min_samples_leaf=9, RandomForestRegressor__min_samples_split=19, RandomForestRegressor__n_estimators=100)",-24639.33400325364,156.96921355238305,5,1
16,"RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.05, RandomForestRegressor__min_samples_leaf=16, RandomForestRegressor__min_samples_split=13, RandomForestRegressor__n_estimators=100)",-24651.730477521367,157.00869554748033,2,1
17,"RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.2, RandomForestRegressor__min_samples_leaf=16, RandomForestRegressor__min_samples_split=13, RandomForestRegressor__n_estimators=100)",-24651.730477521367,157.00869554748033,3,1
18,"RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.05, RandomForestRegressor__min_samples_leaf=16, RandomForestRegressor__min_samples_split=19, RandomForestRegressor__n_estimators=100)",-24651.730477521367,157.00869554748033,4,1
19,"RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.2, RandomForestRegressor__min_samples_leaf=16, RandomForestRegressor__min_samples_split=9, RandomForestRegressor__n_estimators=100)",-24651.730477521367,157.00869554748033,5,1
