rank,pipeline,cv_neg_mse,cv_rmse,generation,operator_count
1,"DecisionTreeRegressor(input_matrix, DecisionTreeRegressor__max_depth=7, DecisionTreeRegressor__min_samples_leaf=17, DecisionTreeRegressor__min_samples_split=5)",-28965.102693114506,170.19137079509792,4,1
2,"DecisionTreeRegressor(input_matrix, DecisionTreeRegressor__max_depth=7, DecisionTreeRegressor__min_samples_leaf=17, DecisionTreeRegressor__min_samples_split=17)",-28965.102693114506,170.19137079509792,5,1
3,"DecisionTreeRegressor(input_matrix, DecisionTreeRegressor__max_depth=7, DecisionTreeRegressor__min_samples_leaf=15, DecisionTreeRegressor__min_samples_split=5)",-28980.04397519547,170.23526066944964,3,1
4,"DecisionTreeRegressor(RidgeCV(input_matrix), DecisionTreeRegressor__max_depth=6, DecisionTreeRegressor__min_samples_leaf=15, DecisionTreeRegressor__min_samples_split=5)",-29014.551803375816,170.33658386669558,5,2
5,"DecisionTreeRegressor(RidgeCV(input_matrix), DecisionTreeRegressor__max_depth=6, DecisionTreeRegressor__min_samples_leaf=17, DecisionTreeRegressor__min_samples_split=5)",-29017.978938586,170.34664346146067,5,2
6,"DecisionTreeRegressor(input_matrix, DecisionTreeRegressor__max_depth=8, DecisionTreeRegressor__min_samples_leaf=17, DecisionTreeRegressor__min_samples_split=5)",-29051.09924484542,170.4438301753555,3,1
7,"DecisionTreeRegressor(input_matrix, DecisionTreeRegressor__max_depth=8, DecisionTreeRegressor__min_samples_leaf=17, DecisionTreeRegressor__min_samples_split=12)",-29051.09924484542,170.4438301753555,5,1
8,"DecisionTreeRegressor(RobustScaler(input_matrix), DecisionTreeRegressor__max_depth=8, DecisionTreeRegressor__min_samples_leaf=17, DecisionTreeRegressor__min_samples_split=5)",-29051.09924484542,170.4438301753555,4,2
9,"DecisionTreeRegressor(RobustScaler(MaxAbsScaler(input_matrix)), DecisionTreeRegressor__max_depth=8, DecisionTreeRegressor__min_samples_leaf=17, DecisionTreeRegressor__min_samples_split=5)",-29051.09924484542,170.4438301753555,5,3
10,"DecisionTreeRegressor(MinMaxScaler(input_matrix), DecisionTreeRegressor__max_depth=6, DecisionTreeRegressor__min_samples_leaf=17, DecisionTreeRegressor__min_samples_split=5)",-29061.661376017495,170.47481155882676,2,2
11,"DecisionTreeRegressor(MinMaxScaler(StandardScaler(input_matrix)), DecisionTreeRegressor__max_depth=6, DecisionTreeRegressor__min_samples_leaf=17, DecisionTreeRegressor__min_samples_split=5)",-29061.661376017495,170.47481155882676,3,3
12,"DecisionTreeRegressor(input_matrix, DecisionTreeRegressor__max_depth=6, DecisionTreeRegressor__min_samples_leaf=17, DecisionTreeRegressor__min_samples_split=5)",-29062.10430397644,170.47611065476724,0,1
13,"DecisionTreeRegressor(input_matrix, DecisionTreeRegressor__max_depth=6, DecisionTreeRegressor__min_samples_leaf=17, DecisionTreeRegressor__min_samples_split=17)",-29062.10430397644,170.47611065476724,2,1
14,"DecisionTreeRegressor(input_matrix, DecisionTreeRegressor__max_depth=6, DecisionTreeRegressor__min_samples_leaf=17, DecisionTreeRegressor__min_samples_split=4)",-29062.10430397644,170.47611065476724,3,1
15,"DecisionTreeRegressor(RobustScaler(input_matrix), DecisionTreeRegressor__max_depth=6, DecisionTreeRegressor__min_samples_leaf=17, DecisionTreeRegressor__min_samples_split=17)",-29062.10430397644,170.47611065476724,4,2
16,"DecisionTreeRegressor(StandardScaler(input_matrix), DecisionTreeRegressor__max_depth=6, DecisionTreeRegressor__min_samples_leaf=17, DecisionTreeRegressor__min_samples_split=5)",-29062.10430397644,170.47611065476724,4,2
17,"DecisionTreeRegressor(StandardScaler(input_matrix), DecisionTreeRegressor__max_depth=6, DecisionTreeRegressor__min_samples_leaf=17, DecisionTreeRegressor__min_samples_split=17)",-29062.10430397644,170.47611065476724,5,2
18,"DecisionTreeRegressor(MaxAbsScaler(StandardScaler(input_matrix)), DecisionTreeRegressor__max_depth=6, DecisionTreeRegressor__min_samples_leaf=17, DecisionTreeRegressor__min_samples_split=5)",-29062.10430397644,170.47611065476724,5,3
19,"DecisionTreeRegressor(input_matrix, DecisionTreeRegressor__max_depth=6, DecisionTreeRegressor__min_samples_leaf=15, DecisionTreeRegressor__min_samples_split=5)",-29062.965131100857,170.47863540954583,2,1
20,"DecisionTreeRegressor(input_matrix, DecisionTreeRegressor__max_depth=6, DecisionTreeRegressor__min_samples_leaf=15, DecisionTreeRegressor__min_samples_split=17)",-29062.965131100857,170.47863540954583,5,1
21,"DecisionTreeRegressor(input_matrix, DecisionTreeRegressor__max_depth=6, DecisionTreeRegressor__min_samples_leaf=15, DecisionTreeRegressor__min_samples_split=18)",-29062.965131100857,170.47863540954583,5,1
22,"RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.05, RandomForestRegressor__min_samples_leaf=18, RandomForestRegressor__min_samples_split=13, RandomForestRegressor__n_estimators=100)",-29065.22758195512,170.48527086512524,4,1
23,"DecisionTreeRegressor(input_matrix, DecisionTreeRegressor__max_depth=6, DecisionTreeRegressor__min_samples_leaf=11, DecisionTreeRegressor__min_samples_split=5)",-29065.53265978145,170.48616559645376,4,1
24,"DecisionTreeRegressor(MinMaxScaler(input_matrix), DecisionTreeRegressor__max_depth=6, DecisionTreeRegressor__min_samples_leaf=7, DecisionTreeRegressor__min_samples_split=5)",-29066.04349485624,170.48766376150576,5,2
25,"DecisionTreeRegressor(MinMaxScaler(SGDRegressor(input_matrix, SGDRegressor__alpha=0.001, SGDRegressor__eta0=0.01, SGDRegressor__fit_intercept=False, SGDRegressor__l1_ratio=0.5, SGDRegressor__learning_rate=invscaling, SGDRegressor__loss=huber, SGDRegressor__penalty=elasticnet, SGDRegressor__power_t=100.0)), DecisionTreeRegressor__max_depth=6, DecisionTreeRegressor__min_samples_leaf=17, DecisionTreeRegressor__min_samples_split=5)",-29082.574884387297,170.53613952587088,5,3
26,"RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.7500000000000001, RandomForestRegressor__min_samples_leaf=17, RandomForestRegressor__min_samples_split=9, RandomForestRegressor__n_estimators=100)",-29086.733683703293,170.54833239789622,3,1
27,"RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.7500000000000001, RandomForestRegressor__min_samples_leaf=17, RandomForestRegressor__min_samples_split=3, RandomForestRegressor__n_estimators=100)",-29086.733683703293,170.54833239789622,4,1
28,"RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.7500000000000001, RandomForestRegressor__min_samples_leaf=16, RandomForestRegressor__min_samples_split=14, RandomForestRegressor__n_estimators=100)",-29110.049563215678,170.6166743410962,2,1
29,"RandomForestRegressor(VarianceThreshold(input_matrix, VarianceThreshold__threshold=0.0001), RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.7500000000000001, RandomForestRegressor__min_samples_leaf=16, RandomForestRegressor__min_samples_split=14, RandomForestRegressor__n_estimators=100)",-29110.049563215678,170.6166743410962,3,2
30,"RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.4, RandomForestRegressor__min_samples_leaf=16, RandomForestRegressor__min_samples_split=14, RandomForestRegressor__n_estimators=100)",-29111.690372364526,170.62148273990744,1,1
31,"RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.4, RandomForestRegressor__min_samples_leaf=16, RandomForestRegressor__min_samples_split=13, RandomForestRegressor__n_estimators=100)",-29111.690372364526,170.62148273990744,2,1
32,"RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.4, RandomForestRegressor__min_samples_leaf=16, RandomForestRegressor__min_samples_split=2, RandomForestRegressor__n_estimators=100)",-29111.690372364526,170.62148273990744,2,1
33,"RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.05, RandomForestRegressor__min_samples_leaf=16, RandomForestRegressor__min_samples_split=14, RandomForestRegressor__n_estimators=100)",-29111.690372364526,170.62148273990744,3,1
34,"RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.05, RandomForestRegressor__min_samples_leaf=16, RandomForestRegressor__min_samples_split=13, RandomForestRegressor__n_estimators=100)",-29111.690372364526,170.62148273990744,3,1
35,"RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.4, RandomForestRegressor__min_samples_leaf=16, RandomForestRegressor__min_samples_split=12, RandomForestRegressor__n_estimators=100)",-29111.690372364526,170.62148273990744,4,1
36,"RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.4, RandomForestRegressor__min_samples_leaf=16, RandomForestRegressor__min_samples_split=18, RandomForestRegressor__n_estimators=100)",-29111.690372364526,170.62148273990744,4,1
37,"RandomForestRegressor(MinMaxScaler(input_matrix), RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.4, RandomForestRegressor__min_samples_leaf=16, RandomForestRegressor__min_samples_split=14, RandomForestRegressor__n_estimators=100)",-29112.489568490662,170.6238247387822,5,2
38,"RandomForestRegressor(ZeroCount(input_matrix), RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.05, RandomForestRegressor__min_samples_leaf=16, RandomForestRegressor__min_samples_split=13, RandomForestRegressor__n_estimators=100)",-29124.541944949422,170.6591396466929,4,2
39,"RandomForestRegressor(ElasticNetCV(input_matrix, ElasticNetCV__l1_ratio=0.75, ElasticNetCV__tol=0.01), RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.4, RandomForestRegressor__min_samples_leaf=16, RandomForestRegressor__min_samples_split=14, RandomForestRegressor__n_estimators=100)",-29130.36933925026,170.6762119899849,0,2
40,"RandomForestRegressor(ElasticNetCV(input_matrix, ElasticNetCV__l1_ratio=0.75, ElasticNetCV__tol=0.01), RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.4, RandomForestRegressor__min_samples_leaf=16, RandomForestRegressor__min_samples_split=2, RandomForestRegressor__n_estimators=100)",-29130.36933925026,170.6762119899849,1,2
41,"RandomForestRegressor(ElasticNetCV(input_matrix, ElasticNetCV__l1_ratio=0.5, ElasticNetCV__tol=0.01), RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.4, RandomForestRegressor__min_samples_leaf=16, RandomForestRegressor__min_samples_split=14, RandomForestRegressor__n_estimators=100)",-29133.84929245977,170.68640629077575,3,2
42,"RandomForestRegressor(ElasticNetCV(input_matrix, ElasticNetCV__l1_ratio=0.8, ElasticNetCV__tol=0.01), RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.4, RandomForestRegressor__min_samples_leaf=16, RandomForestRegressor__min_samples_split=2, RandomForestRegressor__n_estimators=100)",-29136.240951220767,170.69341214944637,4,2
43,"RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.05, RandomForestRegressor__min_samples_leaf=15, RandomForestRegressor__min_samples_split=13, RandomForestRegressor__n_estimators=100)",-29143.686217600025,170.7152196425381,1,1
